iter	MultiClass
0	1.044910416
1	1.003716822
2	0.9712027651
3	0.9451499547
4	0.9228709115
5	0.9051826211
6	0.8903898033
7	0.8781775125
8	0.8674890708
9	0.8585444897
10	0.8511061396
11	0.8447550356
12	0.8392665726
13	0.8348084748
14	0.8307628111
15	0.8271562089
16	0.8240394811
17	0.8219211834
18	0.8194923529
19	0.81755629
20	0.8162026585
21	0.8147945612
22	0.8135171137
23	0.81219649
24	0.8110922336
25	0.8101456068
26	0.8093321731
27	0.8087370901
28	0.808290012
29	0.8079333615
30	0.8076689136
31	0.8072400366
32	0.8067192632
33	0.8061155226
34	0.8055355455
35	0.8051455029
36	0.8048544522
37	0.8044466377
38	0.8042513341
39	0.8040044478
40	0.8039052985
41	0.8036473285
42	0.8033451099
43	0.8031783574
44	0.8028751283
45	0.8026876817
46	0.8025237621
47	0.8023556745
48	0.8022330874
49	0.8020523724
50	0.8019407382
51	0.8018695964
52	0.8017437543
53	0.8015858072
54	0.8013974724
55	0.8013131819
56	0.8011857906
57	0.8011240037
58	0.8010079948
59	0.8008642782
60	0.800787467
61	0.8007089595
62	0.8006212785
63	0.8004172845
64	0.8003191958
65	0.8001463975
66	0.8000448244
67	0.7998700579
68	0.7997777778
69	0.7996855091
70	0.7995837271
71	0.7994770803
72	0.799372829
73	0.799275135
74	0.7991324467
75	0.7990488068
76	0.7989942641
77	0.7989064471
78	0.7987804461
79	0.7986501069
80	0.7986021579
81	0.7985289101
82	0.7984029452
83	0.7982419758
84	0.7981419076
85	0.7980573279
86	0.798007884
87	0.7979140574
88	0.7978050712
89	0.7977359083
90	0.797674276
91	0.7975872067
92	0.7975268117
93	0.7974541648
94	0.7973839092
95	0.7972151402
96	0.7971235293
97	0.7970507054
98	0.7969325095
99	0.796813321
100	0.7967821551
101	0.7967329652
102	0.7966254928
103	0.7965730359
104	0.7965235234
105	0.796432757
106	0.7963599259
107	0.7962795307
108	0.7962315409
109	0.7961757607
110	0.7961127106
111	0.7959898358
112	0.7959269168
113	0.7958729797
114	0.795801154
115	0.7956897526
116	0.7955892719
117	0.7954725642
118	0.7954219338
119	0.7953441214
120	0.7952908314
121	0.7952048729
122	0.7951586834
123	0.795078499
124	0.7949618114
125	0.7948881748
126	0.7948255937
127	0.7947716661
128	0.7946926321
129	0.7946311437
130	0.7945373853
131	0.7944633867
132	0.7943948329
133	0.7943308266
134	0.7942791374
135	0.7942315453
136	0.7941465217
137	0.7940934958
138	0.7940308659
139	0.793980115
140	0.7938868189
141	0.793827748
142	0.7937595253
143	0.7936938148
144	0.7936254538
145	0.7935372689
