iter	Passed	Remaining
0	139	139517
1	150	75256
2	163	54217
3	174	43465
4	186	37106
5	199	32989
6	211	29951
7	222	27614
8	234	25812
9	245	24340
10	258	23204
11	269	22149
12	280	21263
13	291	20528
14	305	20029
15	316	19448
16	327	18945
17	338	18475
18	349	18046
19	361	17733
20	373	17427
21	384	17099
22	396	16832
23	408	16614
24	421	16422
25	431	16158
26	442	15949
27	453	15740
28	464	15562
29	476	15406
30	488	15272
31	499	15099
32	510	14971
33	523	14882
34	536	14778
35	547	14663
36	559	14556
37	571	14457
38	582	14348
39	593	14253
40	604	14137
41	616	14063
42	627	13956
43	637	13857
44	648	13765
45	659	13681
46	671	13614
47	681	13518
48	693	13467
49	705	13398
50	715	13309
51	726	13249
52	738	13187
53	749	13128
54	760	13070
55	771	13001
56	782	12945
57	792	12877
58	803	12821
59	816	12796
60	826	12724
61	837	12674
62	848	12620
63	860	12585
64	872	12553
65	884	12516
66	895	12475
67	907	12437
68	918	12391
69	929	12347
70	941	12320
71	953	12283
72	963	12238
73	975	12211
74	987	12180
75	998	12134
76	1008	12091
77	1020	12061
78	1032	12040
79	1045	12020
80	1056	11981
81	1066	11938
82	1077	11904
83	1088	11874
84	1099	11830
85	1109	11794
86	1120	11754
87	1131	11723
88	1142	11692
89	1153	11662
90	1163	11623
91	1174	11593
92	1185	11561
93	1195	11524
94	1207	11499
95	1217	11467
96	1228	11438
97	1239	11405
98	1250	11377
99	1261	11354
100	1271	11320
101	1283	11299
102	1294	11271
103	1304	11241
104	1315	11214
105	1326	11185
106	1338	11168
107	1350	11154
108	1360	11123
109	1372	11103
110	1383	11083
111	1394	11056
112	1406	11038
113	1416	11006
114	1427	10988
115	1439	10972
116	1451	10954
117	1462	10930
118	1473	10908
119	1483	10882
120	1495	10863
121	1507	10847
122	1518	10829
123	1530	10810
124	1542	10800
125	1553	10776
126	1564	10755
127	1575	10731
128	1586	10712
129	1598	10694
130	1609	10674
131	1620	10653
132	1632	10640
133	1642	10615
134	1654	10601
135	1666	10586
136	1677	10568
137	1688	10547
138	1699	10528
139	1710	10509
140	1721	10490
141	1733	10473
142	1744	10452
143	1756	10439
144	1768	10427
145	1779	10410
146	1791	10392
147	1803	10379
148	1813	10357
149	1824	10341
150	1835	10320
151	1845	10297
152	1858	10289
153	1869	10268
154	1880	10253
155	1891	10232
156	1902	10217
157	1914	10200
158	1925	10184
159	1936	10164
160	1948	10152
161	1959	10133
162	1970	10118
163	1982	10104
164	1994	10092
165	2005	10074
166	2016	10058
167	2027	10040
168	2037	10020
169	2049	10008
170	2060	9987
171	2071	9972
172	2093	10005
173	2113	10031
174	2131	10047
175	2146	10051
176	2162	10054
177	2174	10041
178	2186	10027
179	2197	10009
180	2208	9995
181	2219	9973
182	2230	9956
183	2240	9935
184	2250	9915
185	2262	9901
186	2273	9884
187	2284	9867
188	2295	9848
189	2306	9831
190	2317	9814
191	2327	9795
192	2338	9779
193	2350	9767
194	2361	9750
195	2373	9735
196	2384	9719
197	2395	9704
198	2408	9692
199	2419	9676
200	2430	9661
201	2441	9645
202	2453	9631
203	2464	9614
204	2475	9600
205	2487	9586
206	2498	9570
207	2509	9554
208	2520	9538
209	2531	9523
210	2543	9510
211	2554	9494
212	2566	9481
213	2577	9466
214	2587	9449
215	2599	9434
216	2610	9419
217	2620	9401
218	2632	9388
219	2642	9370
220	2654	9356
221	2666	9345
222	2677	9330
223	2690	9319
224	2701	9305
225	2712	9288
226	2723	9273
227	2735	9260
228	2745	9243
229	2756	9228
230	2768	9214
231	2778	9198
232	2791	9187
233	2803	9176
234	2814	9163
235	2827	9153
236	2840	9144
237	2852	9132
238	2863	9119
239	2874	9103
240	2886	9090
241	2897	9077
242	2908	9061
243	2920	9049
244	2931	9032
245	2943	9020
246	2954	9005
247	2964	8990
248	2976	8976
249	2987	8963
250	2998	8948
251	3010	8935
252	3022	8923
253	3033	8908
254	3045	8896
255	3056	8882
256	3066	8866
257	3078	8854
258	3090	8842
259	3102	8830
260	3114	8818
261	3125	8803
262	3136	8789
263	3148	8778
264	3160	8766
265	3170	8749
266	3182	8736
267	3192	8720
268	3204	8708
269	3216	8697
270	3227	8683
271	3238	8668
272	3250	8654
273	3261	8641
274	3272	8627
275	3284	8615
276	3296	8603
277	3307	8590
278	3319	8578
279	3328	8559
280	3340	8546
281	3350	8531
282	3361	8517
283	3373	8505
284	3384	8492
285	3395	8478
286	3407	8465
287	3419	8452
288	3430	8439
289	3442	8427
290	3453	8414
291	3464	8400
292	3475	8387
293	3486	8371
294	3497	8357
295	3508	8344
296	3520	8332
297	3532	8321
298	3543	8307
299	3554	8294
300	3566	8281
301	3577	8268
302	3588	8255
303	3599	8241
304	3610	8226
305	3621	8212
306	3631	8197
307	3642	8183
308	3654	8172
309	3664	8156
310	3675	8143
311	3687	8130
312	3698	8117
313	3709	8104
314	3721	8091
315	3732	8080
316	3744	8067
317	3755	8055
318	3766	8041
319	3778	8028
320	3788	8014
321	3799	8000
322	3810	7987
323	3821	7973
324	3833	7961
325	3845	7949
326	3855	7935
327	3867	7923
328	3879	7911
329	3890	7899
330	3902	7886
331	3914	7875
332	3924	7861
333	3936	7848
334	3947	7836
335	3958	7822
336	3969	7810
337	3980	7795
338	3991	7782
339	4002	7769
340	4012	7754
341	4023	7741
342	4034	7728
343	4046	7717
344	4058	7705
345	4069	7692
346	4081	7680
347	4093	7669
348	4105	7658
349	4116	7645
350	4128	7633
351	4140	7621
352	4151	7608
353	4162	7595
354	4174	7584
355	4185	7572
356	4197	7559
357	4209	7548
358	4219	7533
359	4231	7521
360	4242	7510
361	4254	7497
362	4265	7485
363	4276	7472
364	4288	7460
365	4299	7447
366	4311	7436
367	4323	7424
368	4334	7412
369	4345	7399
370	4357	7387
371	4370	7378
372	4382	7366
373	4394	7354
374	4405	7341
375	4416	7328
376	4427	7315
377	4438	7303
378	4449	7290
379	4460	7277
380	4472	7265
381	4483	7252
382	4493	7239
383	4505	7227
384	4517	7215
385	4527	7202
386	4539	7191
387	4551	7178
388	4561	7165
389	4573	7153
390	4584	7139
391	4595	7128
392	4606	7115
393	4617	7102
394	4629	7090
395	4640	7078
396	4652	7066
397	4663	7054
398	4675	7042
399	4686	7029
400	4697	7017
401	4709	7005
402	4720	6992
403	4731	6979
404	4742	6967
405	4753	6954
406	4764	6941
407	4775	6928
408	4787	6917
409	4799	6906
410	4809	6893
411	4821	6881
412	4833	6870
413	4844	6857
414	4855	6844
415	4867	6832
416	4878	6819
417	4889	6807
418	4901	6796
419	4912	6784
420	4923	6771
421	4935	6759
422	4945	6746
423	4957	6734
424	4967	6721
425	4979	6709
426	4991	6697
427	5002	6685
428	5013	6672
429	5024	6661
430	5036	6648
431	5047	6636
432	5058	6623
433	5069	6610
434	5080	6598
435	5092	6587
436	5103	6574
437	5114	6562
438	5126	6551
439	5137	6538
440	5149	6526
441	5159	6513
442	5171	6501
443	5182	6489
444	5193	6476
445	5204	6464
446	5215	6452
447	5226	6439
448	5237	6427
449	5247	6414
450	5259	6402
451	5271	6390
452	5282	6378
453	5293	6366
454	5304	6353
455	5316	6342
456	5328	6331
457	5338	6317
458	5349	6305
459	5361	6293
460	5372	6281
461	5383	6269
462	5395	6257
463	5406	6245
464	5418	6234
465	5429	6221
466	5439	6208
467	5451	6197
468	5462	6184
469	5474	6173
470	5485	6161
471	5498	6150
472	5510	6139
473	5521	6127
474	5533	6115
475	5544	6103
476	5556	6092
477	5569	6081
478	5580	6069
479	5591	6057
480	5603	6046
481	5614	6033
482	5625	6021
483	5637	6010
484	5648	5998
485	5659	5985
486	5670	5973
487	5681	5960
488	5692	5948
489	5703	5936
490	5714	5924
491	5727	5913
492	5738	5901
493	5749	5889
494	5761	5877
495	5771	5864
496	5783	5852
497	5795	5841
498	5807	5831
499	5819	5819
500	5830	5807
501	5842	5796
502	5853	5783
503	5864	5771
504	5876	5759
505	5888	5748
506	5899	5736
507	5910	5724
508	5922	5712
509	5933	5700
510	5944	5688
511	5954	5675
512	5966	5663
513	5977	5652
514	5988	5639
515	5999	5627
516	6010	5615
517	6022	5603
518	6033	5591
519	6044	5579
520	6055	5566
521	6066	5555
522	6077	5543
523	6088	5530
524	6099	5518
525	6110	5506
526	6122	5494
527	6133	5482
528	6144	5470
529	6156	5459
530	6166	5446
531	6178	5435
532	6190	5423
533	6201	5411
534	6212	5399
535	6223	5387
536	6234	5375
537	6246	5364
538	6258	5352
539	6268	5339
540	6279	5328
541	6290	5315
542	6302	5304
543	6313	5292
544	6324	5280
545	6336	5268
546	6348	5257
547	6359	5245
548	6371	5234
549	6383	5222
550	6394	5210
551	6405	5199
552	6417	5187
553	6428	5175
554	6440	5163
555	6451	5151
556	6461	5139
557	6473	5127
558	6485	5116
559	6495	5103
560	6507	5092
561	6519	5081
562	6531	5069
563	6543	5058
564	6554	5046
565	6564	5033
566	6575	5021
567	6586	5009
568	6597	4997
569	6608	4985
570	6620	4973
571	6632	4962
572	6644	4951
573	6655	4939
574	6666	4927
575	6677	4915
576	6689	4904
577	6700	4892
578	6712	4880
579	6723	4868
580	6735	4857
581	6747	4846
582	6758	4834
583	6769	4822
584	6780	4810
585	6792	4798
586	6803	4786
587	6814	4774
588	6824	4762
589	6836	4750
590	6847	4738
591	6858	4726
592	6869	4714
593	6881	4703
594	6892	4691
595	6904	4680
596	6915	4668
597	6926	4656
598	6937	4644
599	6948	4632
600	6960	4620
601	6970	4608
602	6982	4596
603	6994	4585
604	7004	4573
605	7016	4561
606	7026	4549
607	7038	4537
608	7050	4526
609	7062	4515
610	7074	4503
611	7085	4492
612	7096	4480
613	7107	4468
614	7118	4456
615	7130	4445
616	7140	4432
617	7153	4421
618	7164	4409
619	7175	4398
620	7187	4386
621	7199	4374
622	7209	4363
623	7220	4351
624	7232	4339
625	7243	4327
626	7254	4315
627	7266	4304
628	7277	4292
629	7289	4280
630	7301	4269
631	7312	4258
632	7324	4246
633	7336	4235
634	7347	4223
635	7357	4211
636	7369	4199
637	7381	4188
638	7393	4176
639	7404	4165
640	7415	4153
641	7426	4141
642	7438	4129
643	7449	4117
644	7461	4106
645	7473	4095
646	7484	4083
647	7497	4072
648	7510	4061
649	7522	4050
650	7535	4039
651	7547	4028
652	7559	4016
653	7570	4005
654	7581	3993
655	7593	3982
656	7606	3971
657	7618	3959
658	7629	3948
659	7642	3936
660	7654	3925
661	7665	3913
662	7677	3902
663	7690	3891
664	7702	3879
665	7713	3868
666	7725	3857
667	7738	3845
668	7750	3834
669	7762	3823
670	7774	3811
671	7786	3800
672	7798	3789
673	7811	3778
674	7822	3766
675	7834	3755
676	7846	3743
677	7857	3731
678	7870	3720
679	7882	3709
680	7894	3697
681	7905	3686
682	7918	3675
683	7930	3663
684	7942	3652
685	7954	3640
686	7966	3629
687	7978	3618
688	7991	3607
689	8004	3596
690	8016	3584
691	8028	3573
692	8040	3562
693	8052	3550
694	8063	3538
695	8074	3526
696	8086	3515
697	8098	3503
698	8108	3491
699	8119	3479
700	8130	3467
701	8141	3456
702	8153	3444
703	8165	3433
704	8175	3420
705	8187	3409
706	8198	3397
707	8209	3386
708	8221	3374
709	8233	3362
710	8245	3351
711	8257	3340
712	8269	3328
713	8280	3316
714	8292	3305
715	8304	3293
716	8317	3282
717	8327	3270
718	8339	3259
719	8349	3247
720	8360	3235
721	8371	3223
722	8382	3211
723	8396	3200
724	8408	3189
725	8420	3178
726	8432	3166
727	8443	3154
728	8454	3142
729	8465	3131
730	8477	3119
731	8491	3108
732	8503	3097
733	8515	3085
734	8526	3074
735	8538	3062
736	8549	3050
737	8560	3039
738	8571	3027
739	8583	3015
740	8594	3004
741	8605	2992
742	8615	2980
743	8627	2968
744	8638	2956
745	8649	2945
746	8660	2933
747	8671	2921
748	8683	2909
749	8695	2898
750	8706	2886
751	8717	2874
752	8728	2863
753	8739	2851
754	8750	2839
755	8761	2827
756	8773	2816
757	8784	2804
758	8795	2792
759	8806	2781
760	8818	2769
761	8829	2757
762	8840	2745
763	8851	2734
764	8862	2722
765	8874	2710
766	8885	2699
767	8896	2687
768	8907	2675
769	8919	2664
770	8930	2652
771	8941	2640
772	8952	2628
773	8963	2617
774	8974	2605
775	8985	2593
776	8997	2582
777	9008	2570
778	9019	2558
779	9031	2547
780	9041	2535
781	9053	2523
782	9063	2511
783	9074	2500
784	9085	2488
785	9097	2476
786	9108	2465
787	9120	2453
788	9131	2441
789	9143	2430
790	9154	2418
791	9164	2406
792	9175	2395
793	9187	2383
794	9198	2371
795	9209	2360
796	9220	2348
797	9231	2336
798	9243	2325
799	9253	2313
800	9265	2301
801	9274	2289
802	9288	2278
803	9299	2267
804	9311	2255
805	9322	2243
806	9333	2232
807	9345	2220
808	9356	2209
809	9368	2197
810	9380	2185
811	9391	2174
812	9404	2163
813	9416	2151
814	9427	2139
815	9438	2128
816	9449	2116
817	9460	2104
818	9472	2093
819	9483	2081
820	9496	2070
821	9507	2058
822	9518	2047
823	9530	2035
824	9541	2023
825	9552	2012
826	9565	2000
827	9577	1989
828	9588	1977
829	9599	1966
830	9610	1954
831	9622	1943
832	9633	1931
833	9644	1919
834	9657	1908
835	9668	1896
836	9679	1885
837	9691	1873
838	9703	1862
839	9714	1850
840	9724	1838
841	9736	1827
842	9747	1815
843	9759	1803
844	9771	1792
845	9782	1780
846	9793	1769
847	9804	1757
848	9816	1745
849	9827	1734
850	9837	1722
851	9848	1710
852	9860	1699
853	9871	1687
854	9882	1675
855	9893	1664
856	9904	1652
857	9916	1641
858	9926	1629
859	9937	1617
860	9947	1605
861	9959	1594
862	9970	1582
863	9981	1571
864	9993	1559
865	10004	1548
866	10015	1536
867	10027	1524
868	10038	1513
869	10048	1501
870	10059	1489
871	10071	1478
872	10084	1467
873	10095	1455
874	10105	1443
875	10116	1432
876	10128	1420
877	10138	1408
878	10149	1397
879	10161	1385
880	10172	1374
881	10184	1362
882	10196	1351
883	10208	1339
884	10219	1327
885	10230	1316
886	10241	1304
887	10253	1293
888	10264	1281
889	10275	1270
890	10287	1258
891	10298	1246
892	10309	1235
893	10321	1223
894	10333	1212
895	10344	1200
896	10356	1189
897	10367	1177
898	10379	1166
899	10391	1154
900	10404	1143
901	10415	1131
902	10427	1120
903	10437	1108
904	10450	1097
905	10464	1085
906	10480	1074
907	10495	1063
908	10510	1052
909	10524	1040
910	10536	1029
911	10550	1018
912	10564	1006
913	10578	995
914	10590	983
915	10603	972
916	10615	960
917	10627	949
918	10639	937
919	10652	926
920	10665	914
921	10677	903
922	10689	891
923	10702	880
924	10715	868
925	10728	857
926	10740	845
927	10752	834
928	10764	822
929	10775	811
930	10788	799
931	10800	788
932	10813	776
933	10826	765
934	10838	753
935	10851	741
936	10863	730
937	10876	718
938	10888	707
939	10901	695
940	10913	684
941	10925	672
942	10938	661
943	10949	649
